,Course_Name,Course_Description,Lectures_Num,Course_Level,Course_hours,Rate,Number_Rates
92,python az python data science real exercise,programming python data analytics data science learn statistical analysis data mining visualization kirill eremenko,73,All Levels,11,4.6,11442
93,docker absolute beginner hand devops,learn docker hand coding exercise beginner devops mumshad mannambeth,48,Beginner,45,4.6,10141
94,microsoft azure cloud beginner bootcamp updated sep,comprehensive microsoft azure course lot lab demo deploy manage azure service varma rudra,196,Beginner,31,4.3,2500
95,jenkins zero hero become devops jenkins master,become devops master learning jenkins integration powerful tool like docker ansible aws git ricardo andre gonzalez gomez,174,All Levels,105,4.3,2461
96,complete guide elasticsearch,learn elasticsearch scratch begin learning elk stack elasticsearch logstash kibana elastic stack bo andersen,142,All Levels,115,4.5,7364
97,spring framework beginner guru,spring framework learn spring framework spring boot spring mvc spring data jpa spring data mongodb hibernate john thompson,524,All Levels,57,4.5,9485
98,complete aspnet mvc course,learn build fast secure web application aspnet mvc popular course student mosh hamedani,139,All Levels,75,4.4,21994
99,go complete developer guide golang,master fundamental advanced feature go programming language golang stephen grider,82,All Levels,9,4.6,10800
100,python bible everything need program python,build project go beginner pro python world fun projectbased python course ziyad yehia,74,Beginner,9,4.6,22504
101,ultimate excel programmer course,learn excel vba scratch dan strong bestselling excel expert k student worldwide daniel strong,212,All Levels,125,4.5,11424
102,aws certified developer associate practice test,exam quiz question dvac practice aws certified developer exam ace aws certified developer exam stephane maarek aws certified solution architect developer,5,293 questions,293,4.5,2128
103,spark python big data pyspark,learn use spark python including spark streaming machine learning spark dataframes jose portilla,66,Intermediate,105,4.4,9105
104,kubernetes mastery handson lesson docker captain,learn latest kubernetes feature plugins practicing devops workflow container expert bret fisher,90,Beginner,7,4.7,404
105,complete python programmer bootcamp,learn python enjoy python master python become python programmer career,146,All Levels,11,4.6,791
106,devops project cicd jenkins ansible docker kubernetes,handson lab create devops cicd pipeline using git jenkins ansible docker kubernetes aws shankar ar,43,All Levels,55,4.5,1291
