,_id,Course_Name,Course_Rate,Course_Description,Lectures_Num,Course_Level,Course_hours
147,5e41144570dfe123d09ba44a,oracl cava mortif pass cava 11 se 1z0815 exam,"4.6
(146 ratings)",obtain exact knowledg skill get cava terrifi 100 exam topic fulli cover cours tim buchalka,128 lectures,Intermediate,12.5 hours
148,5e41144570dfe123d09ba44b,node apt masterclass express mongodb,"4.8
(1,054 ratings)",creat real world back bootcamp directori pp bad travers,76 lectures,Intermediate,12 hours
149,5e41144570dfe123d09ba44c,design pattern c net,"4.4
(4,767 ratings)",discov modern implement design pattern c net dmitri nesteruk,149 lectures,Intermediate,16 hours
150,5e41144570dfe123d09ba44d,complet guid build pp net core react,"4.6
(886 ratings)",complet guid build pp start finish use spent core react typescript mob nail cummin,318 lectures,All Levels,35.5 hours
151,5e41144570dfe123d09ba44e,labia serverless architectur bootcamp build 5 ape,"4.5
(1,298 ratings)",amazon web servic serverless labia apt gateway dynamodb step function sam serverless framework rizmax academi royal salad,301 lectures,All Levels,25.5 hours
152,5e41144570dfe123d09ba44f,patron 3 deep dive part 2 oper gener,"4.9
(477 ratings)",sequenc iter oper gener context manag generatorbas coroutin fred baptist,137 lectures,Intermediate,34.5 hours
153,5e41144570dfe123d09ba450,statist busi analysi data scienc,"4.4
(5,326 ratings)",learn core state data scienc career master statist signific confid interv much kiril eremenko,48 lectures,All Levels,7 hours
154,5e41144570dfe123d09ba451,artifici intellig reinforc learn patron,"4.5
(5,988 ratings)",complet guid artifici intellig rep deep reinforc learn stock trade applic lazi programm,99 lectures,Intermediate,10 hours
155,5e41144570dfe123d09ba452,interact patron dashboard slowli dash,"4.6
(2,996 ratings)",learn creat interact plot intellig dashboard slowli patron dash librari jose gorilla,69 lectures,Intermediate,9.5 hours
156,5e41144570dfe123d09ba453,complet cava mortif cours,"4.5
(5,168 ratings)",becom confid industri readi core cava develop get terrifi cava profession imtiaz ahead,57 lectures,All Levels,17.5 hours
157,5e41144570dfe123d09ba454,cava depth becom complet cava engin,"4.3
(7,448 ratings)",comprehens cava program cours integr design principl best practic instructorl cava project sheer mundluru,349 lectures,All Levels,63.5 hours
158,5e41144570dfe123d09ba455,patron absolut beginn,"4.4
(13,966 ratings)",patron 101 learn patron program scratch hand exercis beginn friendli patron tutor green chameleon learn,67 lectures,Beginner,3 hours
159,5e41144570dfe123d09ba456,data structur algorithm deep dive use cava,"4.4
(4,755 ratings)",learn array link list tree hashtabl stack queue heap sort algorithm search algorithm tim buchalka,116 lectures,Intermediate,16 hours
160,5e41145270dfe123d09ba457,andro cava masterclass becom pp develop,"4.4
(7,231 ratings)",improv career option learn andro pp develop master andro studio build first pp today tim buchalka,320 lectures,All Levels,60.5 hours
161,5e41145270dfe123d09ba458,selenium patron automat test scratch framework,"4.5
(1,103 ratings)",best seller singl cours learn patron program selenium patron automat basi advanc level paul hetti,128 lectures,All Levels,18.5 hours
162,5e41145270dfe123d09ba459,complet path pa develop cours build 7 root,"4.5
(1,909 ratings)",master robot process automat pa path go beginn advanc leon petrov,127 lectures,All Levels,10 hours
163,5e41145270dfe123d09ba45a,graph react complet develop guid,"4.6
(6,117 ratings)",learn master graph build real web ape react node stephen rider,115 lectures,Intermediate,13.5 hours
164,5e41145270dfe123d09ba45b,complet angular cours beginn advanc,"4.5
(18,726 ratings)",comprehens angular 4 angular 2 cours build real commerc pp angular firebas bootstrap 4 hamedani,376 lectures,All Levels,29.5 hours
165,5e41145270dfe123d09ba45c,take big data apach spark patron hand,"4.4
(7,403 ratings)",dive right 15 hand exampl analyz larg data set apach spark desktop hadoop sunday educ frank lane,51 lectures,All Levels,5.5 hours
166,5e41145270dfe123d09ba45d,part 1 foundat enterpris architect mortif long,"4.4
(9,278 ratings)",softwar architectur mortif today 9 part 1 exam becom today foundat scott puffi 200000 student,170 lectures,All Levels,10.5 hours
167,5e41145270dfe123d09ba45e,unreal engin c ultim game develop cours,"4.6
(774 ratings)",learn develop code packag complet video game unreal engin stephen ulibarri,100 lectures,All Levels,33.5 hours
168,5e41145270dfe123d09ba45f,modern angular bootcamp 2020,"4.8
(176 ratings)",get job readi angular understand build test deploy productionreadi ape stephen rider,497 lectures,All Levels,45 hours
169,5e41145270dfe123d09ba460,modern graph bootcamp node apollo,"4.7
(2,474 ratings)",learn build graph applic use node includ prima authent apollo client andrew mead,118 lectures,Beginner,23.5 hours
170,5e41145270dfe123d09ba461,patron 3 deep dive part 3 map,"4.8
(189 ratings)",dictionari set relat data structur fred baptist,79 lectures,Intermediate,20.5 hours
171,5e41145270dfe123d09ba462,unreal engin 4 develop first two game,"4.5
(8,247 ratings)",epic gamesapprov learn unreal editor master gameplay framework use blueprint program without come christoph murphi,85 lectures,Beginner,15.5 hours
172,5e41145270dfe123d09ba463,comprehens 2020 andro develop masterclass,"4.5
(880 ratings)",learn new andro axi like room databas kit face recognit restor firebas map andro studio side paul dichon andro cava flutter develop teacher,325 lectures,All Levels,43 hours
173,5e41145270dfe123d09ba464,node advanc concept,"4.7
(4,040 ratings)",get advanc node learn catch red speed flutter add imag unload node stephen rider,166 lectures,Intermediate,16 hours
174,5e41145270dfe123d09ba465,hand kubernet,"4.7
(375 ratings)",learn servic mesh turn charg kubernet career hand real world practic richard chesterwood,47 lectures,All Levels,11 hours
175,5e41145270dfe123d09ba466,come beginn learn code,"4.5
(1,729 ratings)",perfect cours complet beginn friendli experi requir go scratch come real pp applaus interact,33 lectures,Beginner,8 hours
176,5e41145e70dfe123d09ba467,pp travel beginn becom master travel,"4.4
(7,165 ratings)",learn master travel make advanc applic like real cm pp build cours edin diaz,336 lectures,All Levels,32 hours
177,5e41145e70dfe123d09ba468,patron flask bootcamp creat webster use flask,"4.6
(2,938 ratings)",creat awesom webster use power flask framework patron jose gorilla,126 lectures,All Levels,20 hours
178,5e41145e70dfe123d09ba469,github ultim master git github beginn expert,"4.4
(4,143 ratings)",go complet novic expert git github use stepbystep assumpt learn jason taylor,151 lectures,All Levels,6.5 hours
179,5e41145e70dfe123d09ba46a,deep learn advanc comput vision gun sad,"4.6
(2,087 ratings)",ogg resent incept sad neutral style transfer gun use enn tensorflow year patron lazi programm,88 lectures,Intermediate,9.5 hours
